"county","total_new_cases","month","year","hospitalizations","vaccinations"
"Anderson County",47,"March",2022,12,701645
"Andrews County",6,"March",2022,5,254614
"Angelina County",103,"March",2022,127,1254461
"Aransas County",57,"March",2022,646,413582
"Archer County",48,"March",2022,115,158375
"Armstrong County",24,"March",2022,252,23858
"Atascosa County",292,"March",2022,2167,820178
"Austin County",169,"March",2022,4785,442010
"Bailey County",92,"March",2022,281,83704
"Bandera County",88,"March",2022,2167,361423
"Bastrop County",117,"March",2022,689,1572430
"Baylor County",3,"March",2022,115,44509
"Bee County",170,"March",2022,30,503814
"Bell County",327,"March",2022,255,6699167
"Bexar County",9097,"March",2022,2167,42707112
"Blanco County",34,"March",2022,20,209228
"Borden County",4,"March",2022,281,6992
"Bosque County",55,"March",2022,110,267640
"Bowie County",551,"March",2022,78,1129510
"Brazoria County",630,"March",2022,49,6675057
"Brazos County",570,"March",2022,75,3640597
"Brewster County",8,"March",2022,0,168138
"Briscoe County",11,"March",2022,252,21263
"Brooks County",18,"March",2022,646,136124
"Brown County",39,"March",2022,0,485375
"Burleson County",25,"March",2022,75,279381
"Burnet County",185,"March",2022,689,797294
"Caldwell County",121,"March",2022,80,761829
"Calhoun County",56,"March",2022,204,376086
"Callahan County",76,"March",2022,52,178589
"Cameron County",3094,"March",2022,313,10199584
"Camp County",60,"March",2022,14,162725
"Carson County",50,"March",2022,252,67326
"Cass County",216,"March",2022,0,325677
"Castro County",26,"March",2022,4,103071
"Chambers County",101,"March",2022,4785,645208
"Cherokee County",34,"March",2022,12,638558
"Childress County",46,"March",2022,0,105231
"Clay County",23,"March",2022,115,150288
"Cochran County",23,"March",2022,281,46182
"Coke County",9,"March",2022,12,48830
"Coleman County",22,"March",2022,0,93217
"Collin County",6497,"March",2022,2337,21400205
"Collingsworth County",15,"March",2022,0,29811
"Colorado County",88,"March",2022,4,350278
"Comal County",1538,"March",2022,39,2983155
"Comanche County",346,"March",2022,6,197622
"Concho County",22,"March",2022,12,42128
"Cooke County",133,"March",2022,283,480741
"Coryell County",226,"March",2022,255,1249603
"Cottle County",4,"March",2022,0,14022
"Crane County",8,"March",2022,234,54842
